w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,w_tract,h_tract,h_county
060014005001003,060014088002009,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001408800,06001
060014005001003,060014089001005,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001408900,06001
060014005001003,060014093001009,1,1,0,0,0,0,1,1,0,0,20230321,06001400500,06001409300,06001
060014005001003,060014101001004,1,0,0,1,0,0,1,1,0,0,20230321,06001400500,06001410100,06001
060014005001003,060014101001020,1,0,0,1,0,0,1,1,0,0,20230321,06001400500,06001410100,06001
060014005001003,060014101002020,1,0,0,1,0,0,1,1,0,0,20230321,06001400500,06001410100,06001
060014005001003,060014217002008,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001421700,06001
060014005001003,060014217002009,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001421700,06001
060014005001003,060014234004007,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001423400,06001
060014005001003,060014240011003,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001424001,06001
060014005001003,060014240011004,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001424001,06001
060014005001003,060014240013004,2,1,1,0,0,2,0,0,0,2,20230321,06001400500,06001424001,06001
060014005001003,060014240013007,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001424001,06001
060014005001003,060014240014009,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001424001,06001
060014005001003,060014272003005,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001427200,06001
060014005001003,060014276002001,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001427600,06001
060014005001003,060014277004000,1,1,0,0,0,1,0,0,1,0,20230321,06001400500,06001427700,06001
060014005001003,060014281004008,1,0,0,1,0,0,1,1,0,0,20230321,06001400500,06001428100,06001
060014005001003,060014321002010,1,1,0,0,0,1,0,0,1,0,20230321,06001400500,06001432100,06001
060014005001003,060014323001003,1,0,1,0,0,0,1,0,1,0,20230321,06001400500,06001432300,06001
060014005001003,060014323003018,1,0,0,1,0,0,1,0,1,0,20230321,06001400500,06001432300,06001
060014005001003,060014331043001,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001433104,06001
060014005001003,060014351021011,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001435102,06001
060014005001003,060014355003009,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001435500,06001
060014005001003,060014361003005,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001436100,06001
060014005001003,060014372004009,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001437200,06001
060014005001003,060014377011001,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06001437701,06001
060014005001003,060133180001004,2,0,0,2,0,0,2,0,0,2,20230321,06001400500,06013318000,06013
060014005001003,060133320005003,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013332000,06013
060014005001003,060133342005003,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013334200,06013
060014005001003,060133373004002,1,0,0,1,1,0,0,0,1,0,20230321,06001400500,06013337300,06013
060014005001003,060133400014009,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06013340001,06013
060014005001003,060133430021017,1,1,0,0,0,0,1,1,0,0,20230321,06001400500,06013343002,06013
060014005001003,060133452061006,1,1,0,0,0,1,0,0,1,0,20230321,06001400500,06013345206,06013
060014005001003,060133511013000,1,0,0,1,0,0,1,0,1,0,20230321,06001400500,06013351101,06013
060014005001003,060133551191001,1,1,0,0,0,1,0,0,1,0,20230321,06001400500,06013355119,06013
060014005001003,060133710003003,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06013371000,06013
060014005001003,060133710006015,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013371000,06013
060014005001003,060133830001001,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013383000,06013
060014005001003,060210101023012,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06021010102,06021
060014005001003,060330013012015,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06033001301,06033
060014005001003,060411060022003,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06041106002,06041
060014005001003,060450112001101,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06045011200,06045
060014005001003,060470016011016,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06047001601,06047
060014005001003,060670085131010,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06067008513,06067
060014005001003,060750109011000,1,0,0,1,0,1,0,0,1,0,20230321,06001400500,06075010901,06075
060014005001003,060750159001003,1,0,1,0,0,0,1,1,0,0,20230321,06001400500,06075015900,06075
060014005001003,060750160002006,1,0,0,1,1,0,0,0,1,0,20230321,06001400500,06075016000,06075
060014005001003,060750211001011,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06075021100,06075
060014005001003,060750229021002,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06075022902,06075
060014005001003,060750332041002,1,0,0,1,0,1,0,0,1,0,20230321,06001400500,06075033204,06075
060014005001003,060816077021009,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06081607702,06081
060014005001003,060855054033008,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06085505403,06085
060014005001003,060855068032010,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06085506803,06085
060014005001003,060952501033000,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06095250103,06095
060014005001003,060952503002017,1,1,0,0,0,1,0,0,1,0,20230321,06001400500,06095250300,06095
060014005001003,060952503003002,1,1,0,0,0,1,0,0,1,0,20230321,06001400500,06095250300,06095
060014005001003,060952519013009,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06095251901,06095
060014005001003,061010506042001,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06101050604,06101
060014005001003,061090051011033,1,0,1,0,0,0,1,0,1,0,20230321,06001400500,06109005101,06109
060014005001004,060014005002002,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001004,060014008002008,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001400800,06001
060014005001004,060014024001007,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001402400,06001
060014005001004,060014033022014,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001403302,06001
060014005001004,060014042002005,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001404200,06001
060014005001004,060014054011003,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001405401,06001
060014005001004,060014076003001,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001407600,06001
060014005001004,060014076004008,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001407600,06001
060014005001004,060014215001022,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001421500,06001
060014005001004,060014221002025,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001422100,06001
060014005001004,060014232002002,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001423200,06001
060014005001004,060014233002008,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001423300,06001
060014005001004,060014238002014,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001423800,06001
060014005001004,060014239021005,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001423902,06001
060014005001004,060014279004004,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001427900,06001
060014005001004,060014281003008,1,0,0,1,0,0,1,1,0,0,20230321,06001400500,06001428100,06001
060014005001004,060014281004008,1,0,0,1,0,0,1,1,0,0,20230321,06001400500,06001428100,06001
060014005001004,060014283022000,2,0,0,2,0,0,2,0,0,2,20230321,06001400500,06001428302,06001
060014005001004,060014322003003,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001432200,06001
060014005001004,060014322003016,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001432200,06001
060014005001004,060014361003011,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001436100,06001
060014005001004,060014376001000,1,0,1,0,1,0,0,1,0,0,20230321,06001400500,06001437600,06001
060014005001004,060133071013011,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013307101,06013
060014005001004,060133200043005,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06013320004,06013
060014005001004,060133211032000,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013321103,06013
060014005001004,060133390041000,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013339004,06013
060014005001004,060133430031006,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06013343003,06013
060014005001004,060133430032000,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013343003,06013
060014005001004,060133430032009,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013343003,06013
060014005001004,060133451151011,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013345115,06013
060014005001004,060133591041013,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013359104,06013
060014005001004,060133592021019,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013359202,06013
060014005001004,060133620002002,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013362000,06013
060014005001004,060133660021002,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06013366002,06013
060014005001004,060133672002016,1,0,0,1,0,0,1,1,0,0,20230321,06001400500,06013367200,06013
060014005001004,060133830001006,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013383000,06013
060014005001004,060411041023005,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06041104102,06041
060014005001004,060411330003033,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06041133000,06041
060014005001004,060610235011002,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06061023501,06061
060014005001004,060750330023003,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06075033002,06075
060014005001004,060855019022004,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06085501902,06085
060014005001004,060855094043000,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06085509404,06085
060014005001005,060014279001000,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001427900,06001
060014005001005,060133710002006,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06013371000,06013
060014005001005,060375764022000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06037576402,06037
060014005001005,060375776022009,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06037577602,06037
060014005001005,060952521033011,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06095252103,06095
060014005001006,060014005003001,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001006,060014036003009,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001403600,06001
060014005001006,060014057001018,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001405700,06001
060014005001006,060133530011003,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06013353001,06013
060014005001006,060133530013001,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06013353001,06013
060014005001006,060750107011002,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06075010701,06075
060014005001006,060750218001003,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06075021800,06075
060014005001006,060750311001008,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06075031100,06075
060014005001006,060855120051001,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06085512005,06085
060014005001006,060855130006019,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06085513000,06085
060014005001006,060952510003013,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06095251000,06095
060014005001008,060014005002004,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001400500,06001
060014005001008,060014071021000,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001407102,06001
060014005001008,060014272001003,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001427200,06001
060014005001009,060014003002005,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001400300,06001
060014005001009,060014005001010,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001009,060014005001011,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001400500,06001
060014005001009,060014005002002,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001009,060014046001006,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001404600,06001
060014005001009,060014071012004,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001407101,06001
060014005001009,060014077001005,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001407700,06001
060014005001009,060014261006001,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001426100,06001
060014005001009,060014273003006,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001427300,06001
060014005001009,060014273005014,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001427300,06001
060014005001009,060014330001005,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001433000,06001
060014005001009,060014351034008,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001435103,06001
060014005001009,060133180002009,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013318000,06013
060014005001009,060133430031001,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013343003,06013
060014005001009,060133430032006,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013343003,06013
060014005001009,060133451053001,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06013345105,06013
060014005001009,060133592022012,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013359202,06013
060014005001009,060133620003009,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013362000,06013
060014005001009,060133630001000,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06013363000,06013
060014005001009,060411060023011,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06041106002,06041
060014005001009,060816080232007,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06081608023,06081
060014005001009,060952504003002,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06095250400,06095
060014005001009,060990002013022,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06099000201,06099
060014005001010,060014024001011,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001402400,06001
060014005001010,060014087005006,1,0,1,0,0,0,1,1,0,0,20230321,06001400500,06001408700,06001
060014005001010,060014203021011,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001420302,06001
060014005001010,060750326021009,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06075032602,06075
060014005001010,060952510003003,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06095251000,06095
060014005001011,060014005001003,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001011,060014005001014,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001011,060014010003004,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06001401000,06001
060014005001011,060014010006009,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06001401000,06001
060014005001011,060014016001015,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001401600,06001
060014005001011,060014035012010,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001403501,06001
060014005001011,060014042001011,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001404200,06001
060014005001011,060014215002001,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001421500,06001
060014005001011,060014236012001,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001423601,06001
060014005001011,060014240014008,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001424001,06001
060014005001011,060014261001003,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001426100,06001
060014005001011,060014352002000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001435200,06001
060014005001011,060133381013001,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06013338101,06013
060014005001011,060133400012008,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06013340001,06013
060014005001011,060133400013002,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06013340001,06013
060014005001011,060133620001005,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013362000,06013
060014005001011,060750178012000,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06075017801,06075
060014005001012,060014005001009,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001012,060014087002010,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001408700,06001
060014005001012,060133830003009,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013383000,06013
060014005001012,060750328023004,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06075032802,06075
060014005001013,060014231002001,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001423100,06001
060014005001013,060133381012000,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06013338101,06013
060014005001013,060133760002018,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013376000,06013
060014005001013,061070034021039,1,0,0,1,1,0,0,0,1,0,20230321,06001400500,06107003402,06107
060014005001014,060014008003012,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001400800,06001
060014005001014,060014011004003,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001401100,06001
060014005001014,060014024001014,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001402400,06001
060014005001014,060014033022014,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001403302,06001
060014005001014,060014088002009,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001408800,06001
060014005001014,060014088003001,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001408800,06001
060014005001014,060014092002003,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001409200,06001
060014005001014,060014092002005,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001409200,06001
060014005001014,060014227002002,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001422700,06001
060014005001014,060014321003012,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001432100,06001
060014005001014,060133340081002,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013334008,06013
060014005001014,060133430031016,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013343003,06013
060014005001014,060133451152004,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013345115,06013
060014005001014,060133660011000,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06013366001,06013
060014005001014,060133680012014,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013368001,06013
060014005001014,060133760001007,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06013376000,06013
060014005001014,060750203001005,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06075020300,06075
060014005001014,060750304001008,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06075030400,06075
060014005001014,060750332042001,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06075033204,06075
060014005001014,060816077022005,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06081607702,06081
060014005001015,060014005002002,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001400500,06001
060014005001015,060014087004000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001408700,06001
060014005001015,060014098002003,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001409800,06001
060014005001015,060014337001001,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001433700,06001
060014005001015,060133591041013,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013359104,06013
060014005001015,060133760002014,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013376000,06013
060014005001015,060770001021051,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06077000102,06077
060014005001016,060014005001004,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001016,060014013003010,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001401300,06001
060014005001016,060014016001025,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001401600,06001
060014005001016,060014018001017,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001401800,06001
060014005001016,060014040001003,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001404000,06001
060014005001016,060014043002000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001404300,06001
060014005001016,060014051005011,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001405100,06001
060014005001016,060014061003012,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001406100,06001
060014005001016,060014068001000,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001406800,06001
060014005001016,060014068003009,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001406800,06001
060014005001016,060014072001002,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001407200,06001
060014005001016,060014072004005,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001407200,06001
060014005001016,060014078001000,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001407800,06001
060014005001016,060014081004002,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001408100,06001
060014005001016,060014215003014,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001421500,06001
060014005001016,060014228002002,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001422800,06001
060014005001016,060014322003015,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001432200,06001
060014005001016,060014331042002,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001433104,06001
060014005001016,060014339004002,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001433900,06001
060014005001016,060133072021008,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013307202,06013
060014005001016,060133141021004,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06013314102,06013
060014005001016,060133211013002,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013321101,06013
060014005001016,060133512001005,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06013351200,06013
060014005001016,060133551123003,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06013355112,06013
060014005001016,060133591022003,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013359102,06013
060014005001016,060133710003011,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06013371000,06013
060014005001016,060133750001016,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013375000,06013
060014005001016,060133820003009,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013382000,06013
060014005001016,060133830003007,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013383000,06013
060014005001016,060330010004050,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06033001000,06033
060014005001016,060750201022000,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06075020102,06075
060014005001016,060770050042003,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06077005004,06077
060014005001016,060816038023010,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06081603802,06081
060014005001016,060855082052016,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06085508205,06085
060014005001016,060952501042004,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06095250104,06095
060014005001016,060952501062000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06095250106,06095
060014005001017,060014005003006,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001400500,06001
060014005001017,060133830002010,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013383000,06013
060014005002000,060014005001003,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001400500,06001
060014005002000,060014013002000,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001401300,06001
060014005002000,060014016001004,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001401600,06001
060014005002000,060014061004026,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001406100,06001
060014005002000,060014083004001,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001408300,06001
060014005002000,060133680022014,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06013368002,06013
060014005002000,060750205001006,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06075020500,06075
060014005002001,060014062022000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001406202,06001
060014005002002,060014028013002,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001402801,06001
060014005002002,060014036001000,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001403600,06001
060014005002002,060014220002025,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001422000,06001
060014005002002,060014240013000,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001424001,06001
060014005002002,060014354003005,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001435400,06001
060014005002002,060816080232007,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06081608023,06081
060014005002003,060014005001006,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005002003,060014005001008,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06001400500,06001
060014005002003,060014005003006,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001400500,06001
