NAME,median_household_income,total_population,total_enrollment,college_grad_enrollment,total_households,no_vehicle_owner,no_vehicle_renter,pop_in_labor_force_universe,in_labor_force,unemployed,total_housing_units,state,county,tract,block group,GEOID,student_population,pct_students,households_no_vehicle,pct_no_vehicle,unemployment_rate
"Block Group 2, Census Tract 4028.01, Alameda County, California",27643,972,,,611,0,362,806,391,25,637,06,001,402801,2,060014028012,,,362,59.25,6.39
"Block Group 3, Census Tract 4028.01, Alameda County, California",158701,1538,,,824,16,189,1286,965,46,849,06,001,402801,3,060014028013,,,205,24.88,4.77
"Block Group 1, Census Tract 4028.02, Alameda County, California",11123,480,,,157,0,148,453,198,53,238,06,001,402802,1,060014028021,,,148,94.27,26.77
"Block Group 2, Census Tract 4028.02, Alameda County, California",-666666666,771,,,542,0,306,756,343,55,597,06,001,402802,2,060014028022,,,306,56.46,16.03
"Block Group 1, Census Tract 4029, Alameda County, California",34000,835,,,526,0,363,830,476,37,704,06,001,402900,1,060014029001,,,363,69.01,7.77
"Block Group 2, Census Tract 4029, Alameda County, California",32279,803,,,499,0,265,752,407,34,536,06,001,402900,2,060014029002,,,265,53.11,8.35
"Block Group 1, Census Tract 4030, Alameda County, California",51034,1210,,,634,210,53,1086,593,128,748,06,001,403000,1,060014030001,,,263,41.48,21.59
"Block Group 2, Census Tract 4030, Alameda County, California",15281,930,,,411,15,267,904,360,34,452,06,001,403000,2,060014030002,,,282,68.61,9.44
"Block Group 3, Census Tract 4030, Alameda County, California",24020,767,,,465,117,170,746,273,32,551,06,001,403000,3,060014030003,,,287,61.72,11.72
"Block Group 1, Census Tract 4031, Alameda County, California",141979,1001,,,487,23,107,915,804,65,608,06,001,403100,1,060014031001,,,130,26.69,8.08
"Block Group 2, Census Tract 4031, Alameda County, California",-666666666,1053,,,426,20,205,1007,461,77,506,06,001,403100,2,060014031002,,,225,52.82,16.7
"Block Group 1, Census Tract 4033.01, Alameda County, California",18766,589,,,359,27,120,589,304,13,422,06,001,403301,1,060014033011,,,147,40.95,4.28
"Block Group 2, Census Tract 4033.01, Alameda County, California",56591,1361,,,424,0,174,1193,819,0,436,06,001,403301,2,060014033012,,,174,41.04,0.0
"Block Group 1, Census Tract 4033.02, Alameda County, California",229176,623,,,342,72,0,623,589,0,409,06,001,403302,1,060014033021,,,72,21.05,0.0
"Block Group 2, Census Tract 4033.02, Alameda County, California",74356,942,,,651,20,108,834,608,12,713,06,001,403302,2,060014033022,,,128,19.66,1.97
"Block Group 3, Census Tract 4033.02, Alameda County, California",159861,714,,,421,0,22,698,685,0,535,06,001,403302,3,060014033023,,,22,5.23,0.0
"Block Group 1, Census Tract 4034.01, Alameda County, California",119146,893,,,694,14,175,893,493,0,726,06,001,403401,1,060014034011,,,189,27.23,0.0
"Block Group 2, Census Tract 4034.01, Alameda County, California",82237,889,,,560,0,272,833,678,43,588,06,001,403401,2,060014034012,,,272,48.57,6.34
"Block Group 3, Census Tract 4034.01, Alameda County, California",27266,1100,,,808,0,336,952,549,49,860,06,001,403401,3,060014034013,,,336,41.58,8.93
"Block Group 1, Census Tract 4034.02, Alameda County, California",72837,68,,,61,0,26,68,68,0,87,06,001,403402,1,060014034021,,,26,42.62,0.0
"Block Group 2, Census Tract 4034.02, Alameda County, California",81744,1129,,,730,0,262,1058,1017,79,812,06,001,403402,2,060014034022,,,262,35.89,7.77
"Block Group 1, Census Tract 4035.01, Alameda County, California",25519,1128,,,690,35,441,1128,449,41,690,06,001,403501,1,060014035011,,,476,68.99,9.13
"Block Group 2, Census Tract 4035.01, Alameda County, California",76453,1692,,,892,0,146,1519,1252,96,966,06,001,403501,2,060014035012,,,146,16.37,7.67
"Block Group 3, Census Tract 4035.01, Alameda County, California",58484,844,,,426,0,60,775,726,60,426,06,001,403501,3,060014035013,,,60,14.08,8.26
"Block Group 4, Census Tract 4035.01, Alameda County, California",113478,991,,,584,0,74,991,784,51,901,06,001,403501,4,060014035014,,,74,12.67,6.51
"Block Group 1, Census Tract 4035.02, Alameda County, California",95089,800,,,535,4,157,691,614,22,634,06,001,403502,1,060014035021,,,161,30.09,3.58
"Block Group 2, Census Tract 4035.02, Alameda County, California",83466,1208,,,641,30,23,1158,739,29,765,06,001,403502,2,060014035022,,,53,8.27,3.92
"Block Group 1, Census Tract 4036, Alameda County, California",93801,865,,,513,0,47,819,716,6,513,06,001,403600,1,060014036001,,,47,9.16,0.84
"Block Group 2, Census Tract 4036, Alameda County, California",105114,1245,,,658,14,92,1068,928,0,658,06,001,403600,2,060014036002,,,106,16.11,0.0
"Block Group 3, Census Tract 4036, Alameda County, California",81376,3208,,,1692,16,184,2756,2012,144,1856,06,001,403600,3,060014036003,,,200,11.82,7.16
"Block Group 1, Census Tract 4037.01, Alameda County, California",74497,1595,,,903,50,222,1522,957,22,903,06,001,403701,1,060014037011,,,272,30.12,2.3
"Block Group 2, Census Tract 4037.01, Alameda County, California",100500,1430,,,922,0,112,1353,1168,66,958,06,001,403701,2,060014037012,,,112,12.15,5.65
"Block Group 1, Census Tract 4037.02, Alameda County, California",96786,535,,,256,0,20,475,377,26,311,06,001,403702,1,060014037021,,,20,7.81,6.9
"Block Group 2, Census Tract 4037.02, Alameda County, California",125320,1477,,,867,18,157,1343,1194,107,1044,06,001,403702,2,060014037022,,,175,20.18,8.96
"Block Group 1, Census Tract 4038, Alameda County, California",230592,635,,,225,0,0,455,325,18,247,06,001,403800,1,060014038001,,,0,0.0,5.54
"Block Group 2, Census Tract 4038, Alameda County, California",110781,811,,,525,0,101,784,657,6,639,06,001,403800,2,060014038002,,,101,19.24,0.91
"Block Group 3, Census Tract 4038, Alameda County, California",130720,798,,,403,0,23,671,590,67,413,06,001,403800,3,060014038003,,,23,5.71,11.36
"Block Group 4, Census Tract 4038, Alameda County, California",145912,1620,,,713,0,42,1395,1069,21,752,06,001,403800,4,060014038004,,,42,5.89,1.96
"Block Group 1, Census Tract 4039, Alameda County, California",86719,1314,,,732,16,0,1134,929,61,779,06,001,403900,1,060014039001,,,16,2.19,6.57
"Block Group 2, Census Tract 4039, Alameda County, California",201544,1265,,,645,17,0,1144,988,21,684,06,001,403900,2,060014039002,,,17,2.64,2.13
"Block Group 3, Census Tract 4039, Alameda County, California",118566,1459,,,782,0,90,1303,832,32,905,06,001,403900,3,060014039003,,,90,11.51,3.85
"Block Group 1, Census Tract 4040, Alameda County, California",77478,968,,,583,32,19,852,647,16,635,06,001,404000,1,060014040001,,,51,8.75,2.47
"Block Group 2, Census Tract 4040, Alameda County, California",114669,1163,,,711,0,101,1070,831,9,770,06,001,404000,2,060014040002,,,101,14.21,1.08
"Block Group 3, Census Tract 4040, Alameda County, California",70556,921,,,462,0,11,788,680,37,489,06,001,404000,3,060014040003,,,11,2.38,5.44
"Block Group 1, Census Tract 4041.01, Alameda County, California",94688,1187,,,693,8,161,1062,761,6,727,06,001,404101,1,060014041011,,,169,24.39,0.79
"Block Group 2, Census Tract 4041.01, Alameda County, California",129583,1124,,,571,0,27,999,818,16,598,06,001,404101,2,060014041012,,,27,4.73,1.96
"Block Group 3, Census Tract 4041.01, Alameda County, California",102097,771,,,448,25,46,751,594,18,514,06,001,404101,3,060014041013,,,71,15.85,3.03
"Block Group 1, Census Tract 4041.02, Alameda County, California",91090,1663,,,985,0,142,1403,1049,36,985,06,001,404102,1,060014041021,,,142,14.42,3.43
"Block Group 2, Census Tract 4041.02, Alameda County, California",75875,1026,,,627,0,361,971,436,0,802,06,001,404102,2,060014041022,,,361,57.58,0.0
"Block Group 1, Census Tract 4042, Alameda County, California",146875,1180,,,465,0,0,1008,646,46,465,06,001,404200,1,060014042001,,,0,0.0,7.12
"Block Group 2, Census Tract 4042, Alameda County, California",247147,1513,,,481,0,0,1097,766,114,510,06,001,404200,2,060014042002,,,0,0.0,14.88
"Block Group 3, Census Tract 4042, Alameda County, California",152460,1236,,,491,10,15,1040,616,27,513,06,001,404200,3,060014042003,,,25,5.09,4.38
"Block Group 1, Census Tract 4043, Alameda County, California",208906,1287,,,499,19,0,1021,661,89,581,06,001,404300,1,060014043001,,,19,3.81,13.46
"Block Group 2, Census Tract 4043, Alameda County, California",202250,1024,,,416,0,0,787,503,19,441,06,001,404300,2,060014043002,,,0,0.0,3.78
"Block Group 3, Census Tract 4043, Alameda County, California",222917,1251,,,493,9,10,1083,828,6,511,06,001,404300,3,060014043003,,,19,3.85,0.72
"Block Group 1, Census Tract 4044, Alameda County, California",250001,1859,,,749,0,0,1593,953,38,749,06,001,404400,1,060014044001,,,0,0.0,3.99
"Block Group 2, Census Tract 4044, Alameda County, California",166473,1566,,,665,45,0,1256,906,36,665,06,001,404400,2,060014044002,,,45,6.77,3.97
"Block Group 3, Census Tract 4044, Alameda County, California",200150,1777,,,633,0,0,1345,924,0,633,06,001,404400,3,060014044003,,,0,0.0,0.0
"Block Group 4, Census Tract 4044, Alameda County, California",124476,714,,,373,12,15,642,438,0,373,06,001,404400,4,060014044004,,,27,7.24,0.0
"Block Group 1, Census Tract 4045.01, Alameda County, California",211500,1843,,,678,18,0,1435,914,5,715,06,001,404501,1,060014045011,,,18,2.65,0.55
"Block Group 1, Census Tract 4045.02, Alameda County, California",218642,1100,,,435,0,0,808,705,37,435,06,001,404502,1,060014045021,,,0,0.0,5.25
"Block Group 2, Census Tract 4045.02, Alameda County, California",220400,1918,,,716,0,0,1390,888,12,716,06,001,404502,2,060014045022,,,0,0.0,1.35
"Block Group 3, Census Tract 4045.02, Alameda County, California",206667,1724,,,698,14,0,1506,1099,18,698,06,001,404502,3,060014045023,,,14,2.01,1.64
"Block Group 4, Census Tract 4045.02, Alameda County, California",209423,1550,,,688,17,0,1314,929,18,705,06,001,404502,4,060014045024,,,17,2.47,1.94
"Block Group 1, Census Tract 4046, Alameda County, California",159848,938,,,409,0,0,804,457,18,409,06,001,404600,1,060014046001,,,0,0.0,3.94
"Block Group 2, Census Tract 4046, Alameda County, California",207292,686,,,247,0,0,592,340,21,247,06,001,404600,2,060014046002,,,0,0.0,6.18
"Block Group 3, Census Tract 4046, Alameda County, California",213083,1509,,,511,10,0,1284,779,55,511,06,001,404600,3,060014046003,,,10,1.96,7.06
"Block Group 4, Census Tract 4046, Alameda County, California",168913,1930,,,752,0,70,1438,867,63,752,06,001,404600,4,060014046004,,,70,9.31,7.27
"Block Group 1, Census Tract 4047, Alameda County, California",243594,1030,,,417,0,0,888,608,17,457,06,001,404700,1,060014047001,,,0,0.0,2.8
"Block Group 2, Census Tract 4047, Alameda County, California",202321,1123,,,419,0,0,916,585,39,432,06,001,404700,2,060014047002,,,0,0.0,6.67
"Block Group 1, Census Tract 4048, Alameda County, California",89097,1230,,,499,0,71,1033,629,65,555,06,001,404800,1,060014048001,,,71,14.23,10.33
"Block Group 2, Census Tract 4048, Alameda County, California",122016,1492,,,640,11,59,1261,906,66,677,06,001,404800,2,060014048002,,,70,10.94,7.28
"Block Group 1, Census Tract 4049, Alameda County, California",166528,1044,,,391,8,10,777,602,8,413,06,001,404900,1,060014049001,,,18,4.6,1.33
"Block Group 2, Census Tract 4049, Alameda County, California",48875,994,,,505,19,112,856,528,7,532,06,001,404900,2,060014049002,,,131,25.94,1.33
"Block Group 3, Census Tract 4049, Alameda County, California",117231,1247,,,571,0,9,1078,834,38,611,06,001,404900,3,060014049003,,,9,1.58,4.56
"Block Group 4, Census Tract 4049, Alameda County, California",164297,1176,,,499,10,6,1000,825,16,531,06,001,404900,4,060014049004,,,16,3.21,1.94
"Block Group 1, Census Tract 4050, Alameda County, California",177083,1031,,,378,0,0,855,716,43,431,06,001,405000,1,060014050001,,,0,0.0,6.01
"Block Group 2, Census Tract 4050, Alameda County, California",146750,1401,,,562,8,26,1095,822,10,587,06,001,405000,2,060014050002,,,34,6.05,1.22
"Block Group 3, Census Tract 4050, Alameda County, California",115333,1286,,,690,19,36,1141,894,100,749,06,001,405000,3,060014050003,,,55,7.97,11.19
"Block Group 1, Census Tract 4051, Alameda County, California",250001,1022,,,441,0,0,841,593,8,475,06,001,405100,1,060014051001,,,0,0.0,1.35
"Block Group 2, Census Tract 4051, Alameda County, California",250001,785,,,260,8,0,540,348,15,260,06,001,405100,2,060014051002,,,8,3.08,4.31
"Block Group 3, Census Tract 4051, Alameda County, California",243750,1061,,,316,7,0,818,520,0,316,06,001,405100,3,060014051003,,,7,2.22,0.0
"Block Group 4, Census Tract 4051, Alameda County, California",186736,740,,,321,8,0,568,425,0,321,06,001,405100,4,060014051004,,,8,2.49,0.0
"Block Group 5, Census Tract 4051, Alameda County, California",217206,871,,,358,0,0,735,494,9,384,06,001,405100,5,060014051005,,,0,0.0,1.82
"Block Group 1, Census Tract 4052, Alameda County, California",99737,1631,,,562,27,43,1229,829,26,622,06,001,405200,1,060014052001,,,70,12.46,3.14
"Block Group 2, Census Tract 4052, Alameda County, California",85046,1190,,,531,0,75,1098,756,0,565,06,001,405200,2,060014052002,,,75,14.12,0.0
"Block Group 3, Census Tract 4052, Alameda County, California",135329,936,,,473,14,22,880,624,22,534,06,001,405200,3,060014052003,,,36,7.61,3.53
"Block Group 4, Census Tract 4052, Alameda County, California",86250,1179,,,700,0,115,1043,966,0,762,06,001,405200,4,060014052004,,,115,16.43,0.0
"Block Group 1, Census Tract 4053.01, Alameda County, California",106613,856,,,496,0,57,797,664,23,517,06,001,405301,1,060014053011,,,57,11.49,3.46
"Block Group 2, Census Tract 4053.01, Alameda County, California",117875,1406,,,667,0,163,1192,1135,19,731,06,001,405301,2,060014053012,,,163,24.44,1.67
"Block Group 3, Census Tract 4053.01, Alameda County, California",60417,726,,,393,0,43,651,499,20,464,06,001,405301,3,060014053013,,,43,10.94,4.01
"Block Group 1, Census Tract 4053.02, Alameda County, California",47339,1166,,,776,0,215,1166,705,72,909,06,001,405302,1,060014053021,,,215,27.71,10.21
"Block Group 2, Census Tract 4053.02, Alameda County, California",66938,1291,,,677,0,204,1178,894,41,737,06,001,405302,2,060014053022,,,204,30.13,4.59
"Block Group 1, Census Tract 4054.01, Alameda County, California",63409,1513,,,706,20,171,1345,1029,88,782,06,001,405401,1,060014054011,,,191,27.05,8.55
"Block Group 2, Census Tract 4054.01, Alameda County, California",79097,1197,,,487,0,49,1011,797,109,532,06,001,405401,2,060014054012,,,49,10.06,13.68
"Block Group 3, Census Tract 4054.01, Alameda County, California",-666666666,873,,,424,11,130,832,592,34,488,06,001,405401,3,060014054013,,,141,33.25,5.74
"Block Group 1, Census Tract 4054.02, Alameda County, California",34893,2216,,,710,0,84,1866,1210,81,737,06,001,405402,1,060014054021,,,84,11.83,6.69
"Block Group 2, Census Tract 4054.02, Alameda County, California",79886,1276,,,481,0,92,1128,814,40,560,06,001,405402,2,060014054022,,,92,19.13,4.91
"Block Group 1, Census Tract 4055, Alameda County, California",84375,906,,,229,0,13,837,656,9,229,06,001,405500,1,060014055001,,,13,5.68,1.37
"Block Group 2, Census Tract 4055, Alameda County, California",59438,869,,,439,37,72,787,527,9,503,06,001,405500,2,060014055002,,,109,24.83,1.71
"Block Group 3, Census Tract 4055, Alameda County, California",56349,691,,,279,0,54,628,370,35,337,06,001,405500,3,060014055003,,,54,19.35,9.46
"Block Group 4, Census Tract 4055, Alameda County, California",101250,1178,,,614,8,82,1030,818,89,642,06,001,405500,4,060014055004,,,90,14.66,10.88
"Block Group 1, Census Tract 4056, Alameda County, California",44141,596,,,222,0,20,507,352,5,222,06,001,405600,1,060014056001,,,20,9.01,1.42
"Block Group 2, Census Tract 4056, Alameda County, California",126750,1097,,,404,0,29,1015,788,73,490,06,001,405600,2,060014056002,,,29,7.18,9.26
"Block Group 3, Census Tract 4056, Alameda County, California",72292,1491,,,827,14,228,1360,1228,60,890,06,001,405600,3,060014056003,,,242,29.26,4.89
"Block Group 1, Census Tract 4057, Alameda County, California",69906,1725,,,541,0,31,1486,969,79,563,06,001,405700,1,060014057001,,,31,5.73,8.15
"Block Group 2, Census Tract 4057, Alameda County, California",69226,1176,,,506,11,0,916,726,0,550,06,001,405700,2,060014057002,,,11,2.17,0.0
"Block Group 3, Census Tract 4057, Alameda County, California",77917,821,,,450,0,78,780,691,45,472,06,001,405700,3,060014057003,,,78,17.33,6.51
"Block Group 1, Census Tract 4058, Alameda County, California",63702,894,,,341,0,47,864,623,35,341,06,001,405800,1,060014058001,,,47,13.78,5.62
"Block Group 2, Census Tract 4058, Alameda County, California",52604,1410,,,413,0,27,1111,698,84,413,06,001,405800,2,060014058002,,,27,6.54,12.03
"Block Group 3, Census Tract 4058, Alameda County, California",49531,1122,,,398,0,44,877,721,43,444,06,001,405800,3,060014058003,,,44,11.06,5.96
"Block Group 4, Census Tract 4058, Alameda County, California",-666666666,731,,,210,17,0,516,301,16,253,06,001,405800,4,060014058004,,,17,8.1,5.32
"Block Group 1, Census Tract 4059.01, Alameda County, California",58750,1894,,,492,0,43,1455,1088,121,498,06,001,405901,1,060014059011,,,43,8.74,11.12
"Block Group 2, Census Tract 4059.01, Alameda County, California",44458,1057,,,305,0,45,919,500,48,366,06,001,405901,2,060014059012,,,45,14.75,9.6
"Block Group 3, Census Tract 4059.01, Alameda County, California",-666666666,1224,,,314,0,74,860,589,46,342,06,001,405901,3,060014059013,,,74,23.57,7.81
"Block Group 1, Census Tract 4059.02, Alameda County, California",53594,1538,,,473,5,23,1252,787,104,523,06,001,405902,1,060014059021,,,28,5.92,13.21
"Block Group 2, Census Tract 4059.02, Alameda County, California",61103,1525,,,468,11,105,1318,924,63,536,06,001,405902,2,060014059022,,,116,24.79,6.82
"Block Group 1, Census Tract 4060, Alameda County, California",96920,843,,,415,68,29,768,630,67,466,06,001,406000,1,060014060001,,,97,23.37,10.63
"Block Group 2, Census Tract 4060, Alameda County, California",48348,904,,,299,28,53,837,606,12,329,06,001,406000,2,060014060002,,,81,27.09,1.98
"Block Group 3, Census Tract 4060, Alameda County, California",34545,852,,,544,0,221,788,480,13,544,06,001,406000,3,060014060003,,,221,40.62,2.71
